network_name,location_count,eastern_wa_location_count,eastern_wa,counties,cities,primary_clinic_name,primary_city,source
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,11,11,Y,"Chelan, Douglas, Grant, Okanogan","BREWSTER, CASHMERE, E WENATCHEE, EPHRATA, MOSES LAKE, OMAK, OROVILLE, ROYAL CITY, TONASKET, WATERVILLE, WENATCHEE",CONFLUENCE HEALTH BREWSTER CLINIC,BREWSTER,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
SUNNYSIDE COMMUNITY HOSPITAL ASSOCIATION,8,8,Y,"Benton, Yakima","GRANDVIEW, PROSSER, SUNNYSIDE",ASTRIA HEALTH CENTER,GRANDVIEW,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
PUBLIC HOSPITAL DISTRICT NO 1 OF MASON COUNTY,7,0,N,Mason,"HOODSPORT, SHELTON",MASON GENERAL HOSPITAL FAMILY HEALTH,SHELTON,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
JEFFERSON COUNTY PUBLIC HOSPITAL DISTRICT NO 2,6,0,N,Jefferson,"PORT LUDLOW, PORT TOWNSEND, QUILCENE",JEFFERSON HEALTHCARE EXPRESS CLINIC,PORT TOWNSEND,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
WHIDBEY ISLAND PUBLIC HOSPITAL DISTRICT,5,0,N,Island,"CLINTON, COUPEVILLE, FREELAND, OAK HARBOR",WHIDBEYHEALTH PRIMARY CARE - CABOT,OAK HARBOR,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
"FAMILY CARE NETWORK, PLLC",4,0,N,"Skagit, Whatcom","ANACORTES, BLAINE, FERNDALE, LYNDEN",FAMILY CARE NETWORK BIRCH BAY FAMILY MEDICINE,BLAINE,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
GRAYS HARBOR COUNTY PUBLIC HOSPITAL DISTRICT NO 1,4,0,N,Grays Harbor,"ELMA, MCCLEARY",ELMA FAMILY MEDICINE,ELMA,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
LEWIS COUNTY HOSPITAL DISTRICT NO 1,4,0,N,Lewis,"MORTON, MOSSYROCK, PACKWOOD, RANDLE",ARBOR HEALTH MORTON CLINIC,MORTON,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
PROVIDENCE HEALTH & SERVICES WASHINGTON,4,3,Y,"Lewis, Stevens","CENTRALIA, CHEWELAH, COLVILLE, KETTLE FALLS",PROVIDENCE FAMILY MEDICINE CHEWELAH,CHEWELAH,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
CLALLAM COUNTY PUBLIC HOSPITAL DISTRICT NO 1,3,0,N,Clallam,"CLALLAM BAY, FORKS",BOGACHIEL CLINIC,FORKS,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
GRAYS HARBOR COMMUNITY HOSPITAL,3,0,N,Grays Harbor,"ABERDEEN, HOQUIAM, MONTESANO",GHCH ABERDEEN EAST CLINIC,ABERDEEN,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
KITTITAS COUNTY PUBLIC HOSPITAL DIST 1,3,3,Y,Kittitas,"CLE ELUM, ELLENSBURG",KITTITAS VALLEY HEALTHCARE FAMILY MEDICINE CLE ELUM,CLE ELUM,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
LINCOLN COUNTY HOSPITAL DISTRICT 3,3,3,Y,Lincoln,"DAVENPORT, REARDAN, WILBUR",NORTH BASIN MEDICAL CLINICS,DAVENPORT,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
PROSSER PUBLIC HOSPITAL DISTRICT OF BENTON COUNTY,3,3,Y,"Benton, Yakima","BENTON CITY, GRANDVIEW, PROSSER",BENTON CITY CLINIC,BENTON CITY,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
PUBLIC HOSPITAL DISTRICT 3 OF PACIFIC COUNTY,3,0,N,Pacific,"ILWACO, NASELLE, OCEAN PARK",NASELLE CLINIC,NASELLE,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
PUBLIC HOSPITAL DISTRICT NO 2 SKAGIT COUNTY WASHINGTON,3,0,N,"San Juan, Skagit","ANACORTES, EASTSOUND",ANACORTES FAMILY MEDICINE,ANACORTES,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
COLUMBIA COUNTY HOSPITAL DISTRICT,2,2,Y,"Columbia, Walla Walla","DAYTON, WAITSBURG",COLUMBIA FAMILY CLINIC,DAYTON,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
"DOUGLAS, GRANT, LINCOLN & OKANOGAN COUNTIES PUBLIC HOSPITAL DISTRICT 6",2,2,Y,Grant,"COULEE CITY, GRAND COULEE",COULEE FAMILY MEDICINE,GRAND COULEE,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
FERRY COUNTY PUBLIC HOSPITAL DISTRICT NO 1,2,2,Y,Ferry,"CURLEW, REPUBLIC",CURLEW MEDICAL CLINIC,CURLEW,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
GRANT COUNTY PUBLIC HOSPITAL DISTRICT 1,2,2,Y,Grant,MOSES LAKE,SAMARITAN CLINIC,MOSES LAKE,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
PUBLIC HOSPITAL DIST NO 1 SKAGIT,2,0,N,"Island, Snohomish","CAMANO ISLAND, DARRINGTON",CAMANO COMMUNITY HEALTH CLINIC,CAMANO ISLAND,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
PUBLIC HOSPITAL DISTRICT NO 4 KING COUNTY WASHINGTON,2,0,N,King,SNOQUALMIE,SNOQUALMIE RIDGE MEDICAL CLINIC,SNOQUALMIE,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
SHC MEDICAL CENTER TOPPENISH,2,2,Y,Yakima,"SUNNYSIDE, UNION GAP",ASTRIA HEALTH,SUNNYSIDE,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
CHELAN COUNTY PUBLIC HOSPITAL DISTRICT NO 2,1,1,Y,Chelan,CHELAN,EXPRESS CARE LAKE CHELAN HEALTH,CHELAN,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
CHELAN COUNTY PUBLIC HOSPITAL DISTRICT NO. 1,1,1,Y,Chelan,LEAVENWORTH,CASCADE MEDICAL CENTER,LEAVENWORTH,CMS RHC Enrollments 2026-04-01; owner-derived check from CMS RHC All Owners 2026-01-02
