network_name,owner_derived_network_name,clinic_name,enrollment_id,npi,ccn,address,address2,city,county,region_scope,zip,phone,lat,lon,geocode_match,matched_address,geocode_source,source
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH BREWSTER CLINIC,O20230712001869,1861112351,503920,418 W. MAIN ST,,BREWSTER,Okanogan,Eastern WA,98812,5096898900,48.099246372235,-119.78200190188,Match,"418 W MAIN, BREWSTER, WA, 98812",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH CASHMERE CLINIC,O20230712001979,1811617608,503933,303 COTTAGE AVE,,CASHMERE,Chelan,Eastern WA,98815,5091821541,47.521539567571,-120.465231028464,Match,"303 COTTAGE AVE, CASHMERE, WA, 98815",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH E WENATCHEE CLINIC,O20230712002567,1760102438,503931,100 HIGHLINE DR,,E WENATCHEE,Douglas,Eastern WA,98802,5098840614,47.404781437557,-120.281887993608,Match,"100 HIGHLINE DR, E WENATCHEE, WA, 98802",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH EPHRATA CLINIC,O20230712001623,1942920616,503927,314 BASIN ST SW,,EPHRATA,Grant,Eastern WA,98823,5097457186,47.317416970241,-119.553888141722,Match,"314 BASIN ST SW, EPHRATA, WA, 98823",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH MOSES LAKE CLINIC,O20230712001457,1457071235,503934,840 E HILL AVE,,MOSES LAKE,Grant,Eastern WA,98837,5097646400,47.121390498271,-119.265666923962,Match,"840 E HILL AVE, MOSES LAKE, WA, 98837",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH OMAK CLINIC,O20230712002053,1760102545,503935,916 KOALA DR,,OMAK,Okanogan,Eastern WA,98841,5098261800,48.421339016541,-119.505083710363,Match,"916 KOALA DR, OMAK, WA, 98841",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH OROVILLE CLINIC,O20230712001321,1134849920,503936,1617 MAIN ST,,OROVILLE,Okanogan,Eastern WA,98844,5094763631,48.940347037899,-119.434293160793,Match,"1617 MAIN ST, OROVILLE, WA, 98844",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH ROYAL CITY CLINIC,O20230807003948,1932829488,503854,103 CAMELIA ST NW,,ROYAL CITY,Grant,Eastern WA,99357,5093461447,46.900181488156,-119.634960515701,Match,"103 CAMELIA ST, ROYAL CITY, WA, 99357",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH TONASKET CLINIC,O20230712001048,1386364172,503932,17 S WESTERN AVE,,TONASKET,Okanogan,Eastern WA,98855,5094862174,48.708019001602,-119.438404389825,Match,"17 WESTERN AVE, TONASKET, WA, 98855",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH WATERVILLE CLINIC,O20230712001730,1306566070,503937,117 S CHELAN AVE,,WATERVILLE,Douglas,Eastern WA,98858,5097458461,47.646785017498,-120.071339427545,Match,"117 S CHELAN AVE, WATERVILLE, WA, 98858",Census geocoder,CMS RHC Enrollments 2026-04-01
CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CENTRAL WASHINGTON HEALTH SERVICES ASSOCIATION,CONFLUENCE HEALTH WENATCHEE CLINIC,O20230712001556,1386364842,503938,820 N CHELAN AVE,,WENATCHEE,Chelan,Eastern WA,98801,5096638711,47.433898309001,-120.32233735567,Match,"820 N CHELAN AVE, WENATCHEE, WA, 98801",Census geocoder,CMS RHC Enrollments 2026-04-01
CHELAN COUNTY PUBLIC HOSPITAL DISTRICT NO 2,CHELAN COUNTY PUBLIC HOSPITAL DISTRICT NO 2,EXPRESS CARE LAKE CHELAN HEALTH,O20140710001062,1124438312,508567,219 E JOHNSON AVE,,CHELAN,Chelan,Eastern WA,98816,5096822511,47.8410210,-120.0153318,No_Match,,Nominatim address fallback,CMS RHC Enrollments 2026-04-01
CHELAN COUNTY PUBLIC HOSPITAL DISTRICT NO. 1,CHELAN COUNTY PUBLIC HOSPITAL DISTRICT NO. 1,CASCADE MEDICAL CENTER,O20080206000602,1437141215,503992,817 COMMERCIAL STREET,,LEAVENWORTH,Chelan,Eastern WA,98826,5095483420,47.596627967996,-120.656258130503,Match,"817 COMMERCIAL ST, LEAVENWORTH, WA, 98826",Census geocoder,CMS RHC Enrollments 2026-04-01
CHEWELAH ASSOCIATED PHYSICIANS PS,CHEWELAH ASSOCIATED PHYSICIANS PS,CHEWELAH ASSOCIATED PHYSICIANS,O20090513000593,1104971365,503868,410 E KING ST,,CHEWELAH,Stevens,Eastern WA,99109,5099358711,48.275171544922,-117.712337651518,Match,"410 E KING AVE, CHEWELAH, WA, 99109",Census geocoder,CMS RHC Enrollments 2026-04-01
CLALLAM COUNTY PUBLIC HOSPITAL DISTRICT NO 1,CLALLAM COUNTY PUBLIC HOSPITAL DISTRICT NO 1,BOGACHIEL CLINIC,O20090522000376,1285683052,508520,390 FOUNDERS WAY,,FORKS,Clallam,Western/other WA,98331,3603746998,47.9468936,-124.3943023,No_Match,,Nominatim address fallback,CMS RHC Enrollments 2026-04-01
